,mass_A
t,x
20.2399300000000000,0.0159249700000000
20.2879000000000000,0.0312392000000000
20.3359700000000000,0.0433778600000000
20.3999000000000000,0.0526838200000000
20.4480000000000000,0.0564292700000000
20.4960000000000000,0.0561990600000000
20.5440300000000000,0.0523975600000000
20.5920700000000000,0.0432381700000000
20.6399300000000000,0.0303655000000000
20.6879700000000000,0.0156505800000000
20.7358700000000000,-0.0002464578000000
20.7999000000000000,-0.0161223600000000
20.8479000000000000,-0.0299754300000000
20.8958700000000000,-0.0416885600000000
20.9440700000000000,-0.0505131400000000
20.9920000000000000,-0.0584700400000000
21.0399300000000000,-0.0595638800000000
21.0880700000000000,-0.0580333300000000
21.1520000000000000,-0.0515340700000000
21.1998700000000000,-0.0375324100000000
21.2479700000000000,-0.0248493000000000
21.2959300000000000,-0.0099705590000000
21.3440300000000000,0.0060436250000000
21.3919300000000000,0.0210818200000000
21.4399000000000000,0.0353686100000000
21.4879300000000000,0.0442885300000000
21.5518300000000000,0.0527287100000000
21.5998700000000000,0.0554306100000000
21.6480000000000000,0.0541643800000000
21.6958300000000000,0.0467170000000000
21.7438300000000000,0.0369219900000000
21.7919000000000000,0.0238935500000000
21.8399700000000000,0.0088155050000000
21.8879700000000000,-0.0065987240000000
21.9519300000000000,-0.0220520900000000
21.9998700000000000,-0.0358957100000000
22.0479700000000000,-0.0486318000000000
22.0960700000000000,-0.0550461100000000
22.1439000000000000,-0.0581233900000000
22.1919000000000000,-0.0579942700000000
22.2399300000000000,-0.0529723500000000
22.3040700000000000,-0.0468647200000000
22.3519700000000000,-0.0347672000000000
22.3998300000000000,-0.0194638200000000
22.4478300000000000,-0.0032741350000000
22.4959700000000000,0.0126455400000000
22.5439700000000000,0.0274601400000000
22.5919700000000000,0.0366120900000000
22.6398300000000000,0.0454562600000000
22.7040000000000000,0.0528186500000000
22.7520300000000000,0.0533376800000000
22.7998300000000000,0.0499159800000000
22.8479300000000000,0.0409682000000000
22.8959300000000000,0.0310278400000000
22.9439300000000000,0.0170285700000000
22.9919300000000000,0.0017114050000000
23.0559700000000000,-0.0135278200000000
23.1039000000000000,-0.0277603700000000
23.1519300000000000,-0.0418588900000000
23.1998700000000000,-0.0510267000000000
23.2479300000000000,-0.0549200000000000
23.2959700000000000,-0.0567412300000000
23.3439700000000000,-0.0552167200000000
23.3919700000000000,-0.0496163900000000
23.4558700000000000,-0.0408847100000000
23.5039700000000000,-0.0252880000000000
23.5519300000000000,-0.0118405500000000
23.5998300000000000,0.0033307560000000
23.6478700000000000,0.0187392200000000
23.6959000000000000,0.0311815100000000
23.7439000000000000,0.0402856700000000
23.7920000000000000,0.0497882200000000
23.8559700000000000,0.0529800500000000
23.9040000000000000,0.0521435500000000
23.9519000000000000,0.0464186000000000
23.9998700000000000,0.0371975300000000
24.0479000000000000,0.0249764000000000
24.0959000000000000,0.0109263300000000
24.1439700000000000,-0.0043785680000000
24.2079300000000000,-0.0192256200000000
24.2559700000000000,-0.0322027600000000
24.3039700000000000,-0.0421158300000000
24.3518700000000000,-0.0520785800000000
24.3998700000000000,-0.0557267000000000
24.4479700000000000,-0.0557447300000000
24.4959700000000000,-0.0518657800000000
24.5439700000000000,-0.0414981800000000
24.6079300000000000,-0.0315533800000000
24.6559700000000000,-0.0196626400000000
24.7040000000000000,-0.0047835060000000
24.7519000000000000,0.0101867800000000
24.7998700000000000,0.0251121400000000
24.8479000000000000,0.0368904800000000
24.8959700000000000,0.0467106600000000
24.9600000000000000,0.0510723500000000
25.0079700000000000,0.0517762900000000
25.0559300000000000,0.0490125300000000
25.1040000000000000,0.0416059400000000
25.1520000000000000,0.0313937300000000
25.1999300000000000,0.0182553800000000
25.2478700000000000,0.0035885590000000
25.2958700000000000,-0.0112545000000000
25.3598700000000000,-0.0253825000000000
25.4079000000000000,-0.0386521800000000
25.4558300000000000,-0.0486992000000000
25.5039300000000000,-0.0530807100000000
25.5518700000000000,-0.0552302400000000
25.5998700000000000,-0.0539601000000000
25.6478300000000000,-0.0490784100000000
25.6958700000000000,-0.0400535300000000
25.7599300000000000,-0.0264916200000000
25.8078700000000000,-0.0125892200000000
25.8559300000000000,0.0018647410000000
25.9038700000000000,0.0167987900000000
25.9519300000000000,0.0278177100000000
25.9998300000000000,0.0381265900000000
26.0478700000000000,0.0474258500000000
26.1120000000000000,0.0506294000000000
26.1600000000000000,0.0501889900000000
26.2079000000000000,0.0434958600000000
26.2559000000000000,0.0367364500000000
26.3040000000000000,0.0248146700000000
26.3518700000000000,0.0111755500000000
26.3998700000000000,-0.0030577520000000
26.4478700000000000,-0.0178042500000000
26.5120000000000000,-0.0302210700000000
26.5600000000000000,-0.0418406900000000
26.6080000000000000,-0.0475155300000000
26.6558700000000000,-0.0533532900000000
26.7039300000000000,-0.0535905000000000
26.7519300000000000,-0.0507730900000000
26.7998300000000000,-0.0446198100000000
26.8639700000000000,-0.0347772000000000
26.9120700000000000,-0.0205415000000000
26.9600700000000000,-0.0061635790000000
27.0079700000000000,0.0082261830000000
27.0558300000000000,0.0213836700000000
27.1038700000000000,0.0320214000000000
27.1518700000000000,0.0407658800000000
27.1998700000000000,0.0484373800000000
27.2639300000000000,0.0496757200000000
27.3119300000000000,0.0472585100000000
27.3599300000000000,0.0407016400000000
27.4079300000000000,0.0312035400000000
27.4559300000000000,0.0185719300000000
27.5039700000000000,0.0048156280000000
27.5518700000000000,-0.0095114690000000
27.5998300000000000,-0.0227886300000000
27.6640000000000000,-0.0343972400000000
27.7118700000000000,-0.0431740700000000
27.7599000000000000,-0.0496499300000000
27.8079000000000000,-0.0527804600000000
27.8559300000000000,-0.0519872500000000
27.9039700000000000,-0.0469721200000000
27.9519300000000000,-0.0399222600000000
28.0159700000000000,-0.0284838800000000
28.0639000000000000,-0.0127858200000000
28.1119300000000000,0.0010570050000000
28.1599700000000000,0.0149262900000000
28.2079000000000000,0.0279001500000000
28.2558700000000000,0.0383911700000000
28.3039700000000000,0.0452008600000000
28.3519700000000000,0.0485427700000000
28.4158700000000000,0.0483264800000000
28.4638700000000000,0.0445109600000000
28.5120300000000000,0.0359853900000000
28.5599700000000000,0.0259151300000000
28.6078700000000000,0.0128656500000000
28.6558300000000000,-0.0018701230000000
28.7039300000000000,-0.0150487200000000
28.7519000000000000,-0.0273711700000000
28.8159000000000000,-0.0372849700000000
28.8639700000000000,-0.0441579100000000
28.9120000000000000,-0.0514076900000000
28.9599300000000000,-0.0518338900000000
29.0078300000000000,-0.0499629800000000
