t,x
18.54407,-0.04389069
18.59193,-0.04332368
18.63997,-0.03645879
18.68797,-0.03366684
18.73607,-0.02375331
18.79993,-0.01295698
18.8479,-0.0005920415
18.896,0.01251858
18.94397,0.02315383
18.992,0.03217313
19.03997,0.03676414
19.08797,0.04017209
19.15197,0.0401787
19.19997,0.03718816
19.24787,0.0322202
19.29603,0.02288345
19.34403,0.01256173
19.3919,-0.0008111498
19.4399,-0.01224975
19.4879,-0.02365595
19.55197,-0.03331327
19.59987,-0.03821078
19.64793,-0.04389069
19.69603,-0.04452374
19.74407,-0.03995777
19.792,-0.03707479
19.83987,-0.0285696
19.88807,-0.01853044
19.95203,-0.007539221
19.9999,0.003866782
20.0479,0.01611089
20.09597,0.02671445
20.144,0.0322202
20.192,0.03676414
20.23993,0.03828392
20.304,0.03681547
20.352,0.03449217
20.3999,0.02679163
20.44793,0.01872124
20.49603,0.007225156
20.54387,-0.004432018
20.59197,-0.01609431
20.63987,-0.02620146
20.7039,-0.03434357
20.752,-0.04161873
20.79983,-0.04275471
20.8479,-0.04200855
20.896,-0.03821078
20.94397,-0.03149528
20.99193,-0.02281058
21.05603,-0.01435512
21.1039,-0.00265383
21.15197,0.008748161
21.1999,0.01999278
21.2479,0.03108422
21.29587,0.03689481
21.34393,0.04017209
21.392,0.04008922
21.456,0.03449217
21.50393,0.02810507
21.55197,0.02199635
21.59993,0.01139363
21.64793,-0.001023863
21.6959,-0.01239269
21.744,-0.02283241
21.792,-0.03186936
21.8561,-0.03707479
21.904,-0.04048274
21.9519,-0.04096128
22,-0.0361052
22.04803,-0.03021674
22.096,-0.02571496
22.144,-0.01556918
22.208,-0.004675714
22.2559,0.007035184
22.304,0.01814289
22.352,0.02724258
22.39993,0.03449217
22.448,0.0390361
22.49593,0.0403525
22.54397,0.03855837
22.60807,0.03522838
22.656,0.02426832
22.704,0.01511383
22.75197,0.003006821
22.7999,-0.00808925
22.848,-0.0183971
22.8959,-0.02814798
22.95993,-0.03582552
23.00803,-0.03934676
23.05603,-0.04100331
23.1039,-0.03991246
23.152,-0.03547164
23.19993,-0.02798692
23.2479,-0.0184135
23.29597,-0.007440921
23.35987,0.00368249
23.40807,0.0145939
23.45603,0.02434104
23.5039,0.03210052
23.552,0.03562815
23.59987,0.03790012
23.64797,0.03744719
23.6959,0.03335619
23.75983,0.02702145
23.80783,0.01786844
23.8559,0.007228565
23.90397,-0.003840609
23.95187,-0.01515021
23.9999,-0.025277
24.04783,-0.03253086
24.11193,-0.03821078
24.1599,-0.04119883
24.208,-0.04120189
24.25587,-0.03836969
24.3039,-0.03203899
24.35197,-0.02571496
24.39987,-0.01552776
24.44787,-0.00406142
24.51183,0.006889917
24.55997,0.01806018
24.60797,0.02732271
24.65603,0.02510607
24.70393,0.03562815
24.75197,0.0363002
24.79983,0.03415642
24.84783,0.02994823
24.912,0.02199016
24.95983,0.01290848
25.00793,0.001163751
25.0559,-0.01056853
25.1038,-0.02166387
25.15187,-0.03051444
25.19987,-0.03707479
25.26383,-0.04161873
25.31193,-0.04325667
25.35983,-0.04167272
25.40797,-0.03705599
25.45583,-0.02798692
25.50393,-0.01831405
25.55187,-0.007254311
25.59983,0.004642102
25.6638,0.01581599
25.71193,0.02539855
25.75983,0.03305654
25.8079,0.03676414
25.8559,0.0390361
25.9039,0.03852532
25.95197,0.03335619
26.0159,0.02690831
26.0639,0.01631643
26.11183,0.006082884
26.15993,-0.005276432
26.2079,-0.01583724
26.256,-0.02593248
26.30393,-0.03428122
26.35193,-0.03821078
26.41597,-0.03934676
26.4639,-0.03938137
26.51197,-0.03649645
26.5599,-0.03253086
26.60793,-0.02421759
26.65597,-0.01662709
26.70387,-0.005529011
26.75193,0.006084648
26.81597,0.01651821
26.86383,0.01825372
26.9119,0.03449217
